badge,badge_type,is_finish,media_id,index_show,follow,play,pub_real_time,pub_date,renewal_time,score,season_id,title,tags,count
会员专享,0,1,5267750,全12话,261.3万追番,4796.4万次播放,1546963200,1546963200,1553795700,9.8分,26281,约定的梦幻岛,热血 智斗 励志 漫画改,0
会员专享,0,1,28221390,全14话,256.9万追番,9166.1万次播放,1562515200,1562515200,1570465800,5.7分,27995,平凡职业造就世界最强,小说改 奇幻 战斗 冒险,0
,,1,53,全12话,261.7万追番,1870.6万次播放,1404576000,1404576000,1411318800,9.8分,53,月刊少女野崎君,搞笑 校园 少女 漫画改,0
,,1,1588,全22话,267.2万追番,4305.1万次播放,1318435200,1318435200,1422208245,8.9分,1588,罪恶王冠,奇幻 战斗 热血 原创,0
,,1,8752,全22话,270.3万追番,5065.6万次播放,1515254400,1515254400,1528592400,9.8分,21421,魔卡少女樱 CLEAR CARD篇,少女 魔法 漫画改,0
,,1,4340,全13话,271.7万追番,3810万次播放,1349193600,1349193600,1468825940,9.7分,4340,中二病也要谈恋爱！,恋爱,0
会员专享,0,1,6434,全12话,273.8万追番,5583.7万次播放,1507305600,1507305600,1514037600,9.8分,6434,宝石之国,战斗 漫画改 架空 励志,0
,,1,963,全24话,274.3万追番,5009万次播放,1223049600,1223049600,1454558563,9.0分,963,魔法禁书目录 第一季,科幻 校园 战斗 热血,0
会员专享,0,1,134912,全26话,276.5万追番,7959.6万次播放,1538668800,1538668800,1554474600,7.9分,25617,魔法禁书目录 第三季,小说改 热血 科幻 奇幻,0
会员专享,0,1,28222618,全12话,280.8万追番,6049.4万次播放,1570636800,1570636800,1577303700,9.7分,28542,动物狂想曲 / BEASTARS,漫画改 奇幻 恋爱 校园,0
,,1,687,全24话,286.9万追番,2178.4万次播放,1349625600,1349625600,1536460140,9.7分,687,樱花庄的宠物女孩,校园 催泪 恋爱 小说改,0
会员专享,0,1,3365,全12话,284.7万追番,2821.5万次播放,1380643200,1380643200,1456369099,9.5分,3365,境界的彼方,恋爱 奇幻 战斗,0
,,1,4188,全12话,215.7万追番,3128.5万次播放,1365091200,1365091200,1490594460,9.3分,4188,约会大作战,战斗,0
会员专享,0,1,24097891,全24话,217.7万追番,5955.4万次播放,1554912000,1554825600,1570048200,9.7分,26875,CAROLE & TUESDAY,原创 科幻 音乐 励志,0
会员专享,0,1,21988886,全12话,218.5万追番,4253.6万次播放,1554998400,1554998400,1561728600,9.8分,26769,文豪野犬 第三季,漫画改 战斗 奇幻,0
会员专享,0,1,4762754,全12话,223万追番,5022.8万次播放,1547136000,1547136000,1553868033,7.8分,26308,约会大作战 第三季,小说改 萌系 奇幻 战斗,0
,,1,1587,全13话,223.3万追番,1.1亿次播放,1428076800,1428076800,1435422600,9.4分,1587,Fate/stay night [Unlimited Blade Works] 第二季,奇幻 热血,0
,,1,1559,全24话,223.6万追番,1.4亿次播放,1427990400,1427990400,1443215400,9.4分,1559,食戟之灵,美食 热血,0
,,1,3495,全12话,223.7万追番,6246.2万次播放,1460044800,1460044800,1466701200,8.8分,3495,线上游戏的队友不可能是女生？,奇幻 校园,0
会员专享,0,1,102312,全12话,232.2万追番,6382.2万次播放,1531497600,1531497600,1538155500,9.8分,24581,碧蓝之海,搞笑 校园 社团 运动,0
,,1,1555,全12话,225.6万追番,7577万次播放,1428076800,1428076800,1434808800,8.5分,1555,终结的炽天使,奇幻 战斗,0
,,1,1177,全23话,228.2万追番,1482.9万次播放,1191427200,1191427200,1307762640,9.8分,1177,CLANNAD,时泪 校园 治愈 催泪,0
会员专享,0,1,2731,全12话,236.3万追番,3255.9万次播放,1388851200,1388851200,1463638237,9.5分,2731,野良神,奇幻 战斗 漫画改 神魔,0
会员抢先,0,0,28228443,更新至第8话,236.3万追番,4168.5万次播放,1586016000,1586016000,1590256800,9.7分,33055,转生成为了只有乙女游戏破灭Flag的邪恶大小姐,穿越 搞笑 恋爱 乙女,0
会员专享,0,1,5550,全11话,237.2万追番,4467.8万次播放,1475596800,1475596800,1482262210,9.7分,5550,夏目友人帐 伍,治愈 催泪 神魔 漫画改,0
,,1,1540,全13话,241万追番,9787.9万次播放,1427904000,1427904000,1435284000,9.8分,1540,我的青春恋爱物语果然有问题。续,日常 校园 智斗 恋爱,0
会员抢先,0,0,28228339,更新至第8话,238.3万追番,3968.5万次播放,1586102400,1586102400,1590418800,9.5分,32963,公主连结Re:Dive,奇幻 战斗 魔法 冒险,0
会员专享,0,1,4762734,全13话,240.5万追番,7752.8万次播放,1546790400,1546790400,1554132600,9.8分,26297,路人超能100 II(灵能百分百 第二季),热血 奇幻 战斗 漫画改,0
,,1,5793,全12话,241.4万追番,6036.1万次播放,1483891200,1483891200,1490626802,9.5分,5793,珈百璃的堕落,日常 漫画改 神魔,0
会员专享,0,1,1660,全13话,241.8万追番,2976.7万次播放,1215360000,1215360000,1421909394,9.8分,1660,夏目友人帐,奇幻 日常 治愈 催泪,0
,,1,78352,全12话,250.1万追番,7150.3万次播放,1522944000,1522944000,1532966400,9.6分,23850,超能力女儿,搞笑 日常 漫画改,0
会员专享,0,1,28221399,全12话,247.2万追番,5515.3万次播放,1562947200,1562947200,1569603600,6.5分,28002,某科学的一方通行,漫画改 科幻 战斗 魔法,0
,,1,3494,全12话,252.7万追番,7574.7万次播放,1460044800,1460044800,1467309602,8.5分,3494,甲铁城的卡巴内瑞,热血 奇幻 战斗 原创,0
会员专享,0,1,28221387,全24话,254.9万追番,1亿次播放,1562256000,1562256000,1576247400,9.7分,27993,Ｄｒ．ＳＴＯＮＥ 石纪元,漫画改 科幻 励志 冒险,0
会员专享,0,1,78512,全11话,245万追番,5452.2万次播放,1523548800,1523548800,1529602200,9.6分,23856,阿宅的恋爱真难,搞笑 恋爱 日常 漫画改,0
,,1,33512,全13话,287.4万追番,5939.1万次播放,1514736000,1514736000,1546349400,9.8分,22504,卫宫家今天的饭,日常 美食,0
,,1,1552,全13话,250.2万追番,5212.2万次播放,1428076800,1428076800,1435445356,9.7分,1552,可塑性记忆,科幻 日常 催泪,0
会员专享,0,1,4316442,全13话,256.3万追番,5041.5万次播放,1546876800,1546876800,1558659600,9.8分,26291,天使降临到我身边,日常 治愈 漫画改 萌系,0
会员专享,0,1,6463,全12话,192.8万追番,2865.7万次播放,1507219200,1507219200,1513951200,9.8分,6463,少女终末旅行,奇幻 漫画改 冒险,0
,,1,1523,全12话,198万追番,1843.9万次播放,1420387200,1420387200,1427740512,9.6分,1523,元气少女缘结神◎,奇幻 少女 神魔,0
会员抢先,0,0,28224117,更新至第20话,199.9万追番,6891.8万次播放,1578499200,1578499200,1590599100,5.8分,29339,星掠者,漫画改 奇幻 搞笑 战斗,0
会员专享,0,1,1089,全64话,193.6万追番,3961.4万次播放,1238860800,1238860800,1309539120,9.9分,1089,钢之炼金术师 FULLMETAL ALCHEMIST,时泪 奇幻 战斗 热血,0
,,1,2667,全13话,195.8万追番,3488.2万次播放,1357315200,1357315200,1406892081,8.9分,2667,我女友与青梅竹马的惨烈修罗场,校园 恋爱,0
会员专享,0,0,5978,更新至第154话,196.2万追番,1.7亿次播放,1491321600,1491321600,1587893400,4.1分,5978,博人传 火影忍者新时代,热血 架空 冒险,0
限时免费,0,1,427,全24话,197.1万追番,4206.6万次播放,1365696000,1365696000,1443677080,9.7分,427,某科学的超电磁炮S,校园 战斗 奇幻,0
会员专享,0,1,140552,全39话,199.2万追番,6365.8万次播放,1459353600,1459353600,1538380800,9.8分,5398,JOJO的奇妙冒险 不灭钻石,热血 奇幻 漫画改 战斗,0
会员专享,0,1,5069,全24话,200.4万追番,1亿次播放,1468166400,1468166400,1482687300,9.7分,5069,齐木楠雄的灾难,校园 搞笑 日常 漫画改,0
会员专享,0,1,28223860,全12话,204.5万追番,3277万次播放,1578585600,1578585600,1578669300,9.7分,29110,理科生坠入情网，故尝试证明。,漫画改 日常 搞笑 校园,0
,,1,2743,全12话,201.5万追番,7937.2万次播放,1443801600,1443801600,1450537260,9.4分,2743,落第骑士英雄谭,校园 战斗 架空 冒险,0
,,1,2688,全1话,202.5万追番,1527.6万次播放,1172851200,1172851200,1461295820,9.5分,2688,秒速五厘米,催泪 日常,0
